Total,44,L/D,K,K1,Kinf,Kd,3K1,3Kinf,3Kd,Future,Future,"Total number of fittings. Formatting: No quotes in text (use in or ft), No typing or spaces in empty cells."
Fitting,"Entrance, Flush, Sharp edge",0,0.5,160,0.5,0,160,0.5,0,1,0,"Crane A-29, Hooper p98, Darby (from Hooper)"
Fitting,"Entrance, Projecting Inward",0,0.78,160,1,0,160,1,0,1,0,"Crane A-29, Hooper p98, Darby (from Hooper)"
Fitting,Exit,0,1,0,1,0,0,1,0,1,0,"Crane A-29, Hooper p98, Darby (from Hooper), Not required in Korf !"
Fitting,"Gate valve, Full port",8,0,300,0.1,1,300,0.037,3.9,1,0,"Crane A-27, Hooper p98, Darby p127"
Fitting,"Gate valve, B=0.9, 180deg",8,0.13,500,0.15,1,500,0.056,4,1,0,"Crane A-27, Hooper p98, Darby p127 (Hooper ratioed)"
Fitting,"Gate valve, B=0.8, 180deg",8,0.31,1000,0.25,1,1000,0.093,4,1,0,"Crane A-27, Hooper p98, Darby p127 (Hooper ratioed)"
Fitting,"Ball valve, Full port",3,0,300,0.1,1,300,0.017,4,1,0,"Crane A-28, Hooper p98, Darby p127"
Fitting,"Ball valve, B=0.9, 180deg",3,0.13,500,0.15,1,500,0.026,4,1,0,"Crane A-27, Hooper p98, Darby p127 (Hooper ratioed)"
Fitting,"Ball valve, B=0.8, 180deg",3,0.31,1000,0.25,1,1000,0.043,4,1,0,"Crane A-27, Hooper p98, Darby p127 (Hooper ratioed)"
Fitting,"Globe valve, Standard",340,0,1500,4,1,1500,1.7,3.6,1,0,"Crane A-27, Hooper p98, Darby p127"
Fitting,"Globe valve, Angle, 90deg",150,0,1000,2,1,1000,0.69,4,1,0,"Crane A-27, Hooper p98, Darby p127"
Fitting,"Globe valve, Y, 45deg",55,0,950,0.72,1,950,0.25,4,1,0,"Crane A-27, Hooper p98 (ratioed), Darby p127"
Fitting,"Butterfly valve, 2-8in",45,0,800,0.25,1,800,0.08,4,1,0,"Crane A-28 (2-8in), Hooper p98, Darby (from Hooper)"
Fitting,"Butterfly valve, 10-14in",35,0,800,0.25,1,800,0.08,4,1,0,"Crane A-28 (10-14in), Hooper p98, Darby (from Hooper)"
Fitting,"Butterfly valve, 16-24in",25,0,800,0.25,1,800,0.08,4,1,0,"Crane A-28 (16-24in), Hooper p98, Darby (from Hooper)"
Fitting,"Check valve, Swing, Threaded",100,0,1500,1.5,1,1500,0.46,4,1,0,"Crane A-27, Hooper p98, Darby p127"
Fitting,"Check valve, Swing, Flanged",50,0,1500,0.75,1,1500,0.23,4,1,0,"Crane A-27, Hooper (assumed half threaded), Darby p127"
Fitting,"Check valve, Lift",600,0,2000,10,1,2000,2.85,3.8,1,0,"Crane A-27 (threaded), Hooper p98, Darby p127"
Fitting,"Check valve, Lift, Y",55,0,950,0.72,1,950,0.25,4,1,0,"Crane A-27, Hooper+Darby (match Globe Valve Y)"
Fitting,"Check valve, Tilting disc",40,0,1000,0.5,1,1000,0.17,4,1,5,"Crane A-27 (2-8in), Hooper p98, Darby (match Hooper)"
Fitting,"Stop-check, Standard",400,0,1500,4.71,1,1500,1.8,4,1,0,"Crane A-28, Hooper+Darby from Crane"
Fitting,"Stop-check, Y, Flanged",300,0,1500,3.53,1,1500,1.35,4,1,0,"Crane A-28, Hooper+Darby from Crane"
Fitting,"Foot valve, Poppet disk, Threaded",420,0,1500,4.94,1,1500,1.89,4,1,0,"Crane A-28, Hooper+Darby from Crane"
Fitting,"Foot valve, Hinged disk, Threaded",75,0,1500,0.88,1,1500,0.34,4,1,0,"Crane A-28, Hooper+Darby from Crane"
Fitting,"Elbow, 90deg, Short Radius, Threaded",30,0,800,0.4,1,800,0.14,4,1,0,"Crane A-29, Hooper p98, Darby p127"
Fitting,"Elbow, 90deg, Short Radius, Welded",20,0,800,0.25,1,800,0.091,4,1,0,"Crane A-29, Hooper p98, Darby p127, R/D=1"
Fitting,"Elbow, 90deg, Long Radius",14,0,800,0.2,1,800,0.071,4,1,0,"Crane A-29, Hooper p98, Darby p127, R/D=1.5"
Fitting,"Elbow, 45deg, Short radius, Threaded",16,0,500,0.2,1,500,0.071,4.2,1,0,"Crane A-29, Hooper p98, Darby p127"
Fitting,"Elbow, 45deg, Long radius",14,0,500,0.15,1,500,0.052,4,1,0,"Perry Fig 5-19 (ft=0.014), Hooper p98, Darby p127"
Fitting,"Elbow, Mitre, 30deg, 1 weld",8,0,300,0.1,1,300,0.037,3.9,1,0,"Crane A-29 (1 bend), Hooper+Darby from Crane"
Fitting,"Elbow, Mitre, 45deg, 1 weld",15,0,500,0.25,1,500,0.086,4,1,0,"Crane A-29 (1 bend), Hooper p98 (1 weld), Darby p127"
Fitting,"Elbow, Mitre, 60deg, 1 weld",25,0,800,0.25,1,800,0.08,4,1,0,"Crane A-29 (1 bend), Hooper+Darby from Crane"
Fitting,"Elbow, Mitre, 90deg, 1 weld",60,0,1000,1.15,1,1000,0.27,4,1,0,"Crane A-29 (1 bend), Hooper p98 (1 weld), Darby p127"
Fitting,"Elbow, Mitre, 90deg, 2 welds",27,0,800,0.35,1,800,0.068,4.1,1,0,"Miller Fig 9.10 (ratioed), Hooper p98 (2 welds, 45 deg each, R/D=1.5), Darby p127"
Fitting,"Elbow, Mitre, 90deg, 3 welds",25,0,800,0.3,1,800,0.035,4.2,1,0,"Miller Fig 9.10 (ratioed), Hooper p98 (2 welds, 30 deg each, R/D=1.5), Darby p127"
Fitting,"180 Bend, Short Radius, Threaded",50,0,1000,0.6,1,1000,0.23,4,1,0,"Crane A-29, Hooper p98, Darby p127, R/D=1"
Fitting,"180 Bend, Short Radius, Welded",30,0,1000,0.35,1,1000,0.12,4,1,0,"Crane A-29 (ft=0.02), Hooper p98, Darby p127, R/D=1"
Fitting,"180 Bend, Long Radius",25,0,1000,0.3,1,1000,0.1,4,1,0,"Crane from 3K (Re=10000), Hooper p98, Darby p127, R/D=1.5"
Fitting,"Tee, Straight flow, Threaded",20,0,200,0.1,1,200,0.091,4,1,0,"Crane A-29, Hooper p98, Darby p127"
Fitting,"Tee, Straight flow, Welded",5,0,150,0.05,1,150,0.017,4,1,0,"Crane from 3K (close to Miller Fig 13.23), Hooper p98 (corrected), Darby p127"
Fitting,"Tee, Straight flow, Welded, Stub-in branch",0,0.01,100,0,1,100,0,4,1,0,"Crane from 3K (Re=10000), Hooper p98, Darby p127"
Fitting,"Tee, Branch flow, Threaded",60,0,500,0.7,1,500,0.274,4,1,0,"Crane A-29, Hooper p98, Darby p127, Short radius"
Fitting,"Tee, Branch flow, Welded",70,0,800,0.8,1,800,0.28,4,1,0,"Miller Fig 3.16/21 & Crane Fig 2-14 (converted to L/D), Hooper p98, Darby p127, Short radius"
Fitting,"Tee, Branch flow, Welded, Stub-in branch",80,0,1000,1,1,1000,0.34,4,1,0,"Crane from 3K (Re=10000), Hooper p98, Darby p127"
